id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,estimated_diameter_mean_km,estimated_diameter_min_m,estimated_diameter_max_m,relative_velocity_km_s,relative_velocity_km_h,miss_distance_km,miss_distance_astronomical,miss_distance_lunar,orbiting_body,close_approach_date,is_sentry_object,is_potentially_hazardous_asteroid
3683468,3683468,(2014 QR295),18.39,0.5578982211,1.2474983468,0.90269828395,557.8982210671,1247.4983468323,16.1804693508,58249.6896629513,39330824.51628924,0.2629103243,102.2721161527,Earth,2023-01-01,False,0
3703782,3703782,(2015 AE45),25.3,0.0231502122,0.0517654482,0.0374578302,23.150212221,51.7654482198,6.8621510862,24703.7439103688,8526777.284930034,0.0569979859,22.1722165151,Earth,2023-01-01,False,0
3720918,3720918,(2015 LJ),24.7,0.0305179233,0.0682401509,0.0493790371,30.5179232594,68.2401509401,7.1892215518,25881.1975863978,64975962.73683525,0.4343374858,168.9572819762,Earth,2023-01-01,False,0
3767936,3767936,(2017 BQ93),20.6,0.2016299194,0.4508582062,0.3262440628,201.6299194428,450.8582061718,24.1632169643,86987.5810714278,15384366.923158605,0.1028381415,40.0040370435,Earth,2023-01-01,False,1
3792438,3792438,(2017 XY61),26.2,0.0152951935,0.0342010925,0.024748143,15.2951935344,34.201092472,8.1685947474,29406.9410907668,27322012.49004402,0.1826363737,71.0455493693,Earth,2023-01-01,False,0
3824981,3824981,(2018 KR),26.39,0.0140137697,0.0313357417,0.0226747557,14.0137697166,31.3357417074,5.6111697795,20200.2112060543,33343158.085945595,0.2228852462,86.7023607718,Earth,2023-01-01,False,0
3836251,3836251,(2018 VB10),25.8,0.0183888672,0.0411187571,0.02975381215,18.388867207,41.1187571041,6.2665160566,22559.4578038017,39470300.39992781,0.263842663,102.634795907,Earth,2023-01-01,False,0
3837605,3837605,(2019 AE3),27.4,0.0088014652,0.0196806745,0.01424106985,8.801465209,19.6806745089,8.0072523281,28826.1083810302,24802973.98950403,0.1657976413,64.4952824657,Earth,2023-01-01,False,0
3959234,3959234,(2019 YO4),21.89,0.1113153296,0.2489086439,0.18011198675,111.3153296083,248.908643942,23.6789349299,85244.1657476544,73118609.64227916,0.4887677187,190.1306425743,Earth,2023-01-01,False,0
3986848,3986848,(2020 BT3),25.56,0.02053785,0.0459240286,0.0332309393,20.5378499518,45.924028604,10.3897506023,37403.1021683567,16841972.094007462,0.1125816303,43.7942541867,Earth,2023-01-01,False,0
54341664,54341664,(2023 CA4),22.11,0.100590039,0.2249261651,0.16275810205,100.5900390178,224.9261651032,11.3140715709,40730.6576552458,18792056.53461244,0.1256171397,48.8650673433,Earth,2023-01-01,False,0
2847344,2847344,847344 (2023 CA4),22.11,0.100590039,0.2249261651,0.16275810205,100.5900390178,224.9261651032,11.3140715752,40730.6576706314,18792056.53461244,0.1256171397,48.8650673433,Earth,2023-01-01,False,0
3726785,3726785,(2015 RD2),19.26,0.3737274319,0.8356799428,0.60470368735,373.7274319137,835.6799428155,8.321449117,29957.21682138,25962468.947376966,0.1735483864,67.5103223096,Earth,2023-01-04,False,0
3826807,3826807,(2018 PN22),27.5,0.008405334,0.0187948982,0.0136001161,8.4053340207,18.7948982439,3.7825239441,13617.0861989297,11468354.984244809,0.0766612184,29.8212139576,Earth,2023-01-04,False,0
3837644,3837644,(2019 AY3),23.82,0.0457672667,0.1023387195,0.07405299309999999,45.7672667231,102.3387195373,19.4603509014,70057.2632449975,5225075.535362936,0.0349274728,13.5867869192,Earth,2023-01-04,False,0
3366808,3366808,(2007 BT7),20.1,0.2538370294,0.5675968529,0.41071694115,253.8370293645,567.5968528656,18.3061557202,65902.1605926707,41772395.465265445,0.2792312181,108.6209438409,Earth,2023-01-05,False,0
3684006,3684006,(2014 QV296),23.77,0.0468333233,0.1047224945,0.0757779089,46.8333233136,104.7224945415,8.901724395,32046.2078220756,70519325.39317185,0.4713925766,183.3717122974,Earth,2023-01-05,False,0
3692287,3692287,(2014 TC),26.2,0.0152951935,0.0342010925,0.024748143,15.2951935344,34.201092472,8.7209731476,31395.5033311844,52439994.93880385,0.3505397165,136.3599497185,Earth,2023-01-05,False,0
3740044,3740044,(2016 AJ165),25.4,0.022108281,0.0494356193,0.035771950149999995,22.1082810359,49.435619262,12.6433347084,45516.0049503304,39806600.1067552,0.2660906877,103.5092775153,Earth,2023-01-05,False,0
3797750,3797750,(2018 BP1),24.6,0.0319561887,0.0714562102,0.05170619945,31.9561886721,71.4562101727,17.8518977731,64266.831983133,40350515.941268735,0.2697265405,104.9236242545,Earth,2023-01-05,False,0
3836890,3836890,(2018 XE4),26.4,0.0139493823,0.0311917671,0.0225705747,13.9493822934,31.1917670523,8.2080746206,29549.0686341536,8837356.181174712,0.0590740776,22.9798161864,Earth,2023-01-05,False,0
3893730,3893730,(2019 WC5),22.47,0.0852226386,0.1905636132,0.1378931259,85.2226386454,190.5636132329,14.4434895144,51996.5622516625,9759459.305633081,0.0652379563,25.3775650007,Earth,2023-01-05,False,0
3943360,3943360,(2019 YV1),25.23,0.0239086457,0.0534613571,0.0386850014,23.9086457171,53.4613570733,19.1096632751,68794.7877903362,73895132.42233533,0.4939584529,192.1498381781,Earth,2023-01-05,False,0
3773986,3773986,(2017 HJ),27.53,0.0082900085,0.0185370226,0.013413515550000001,8.2900085145,18.5370225725,15.2184774696,54786.5188906392,50989788.02589734,0.340845682,132.588970298,Earth,2023-01-02,True,0
2494690,2494690,494690 (2004 JQ1),20.1,0.2538370294,0.5675968529,0.41071694115,253.8370293645,567.5968528656,33.9865451876,122351.5626754885,73620334.74855149,0.4921215439,191.4352805771,Earth,2023-01-03,False,1
3407681,3407681,(2008 FX6),25.0,0.02658,0.0594346868,0.043007343399999995,26.58,59.4346868419,13.1978675976,47512.3233514327,53303925.1213785,0.3563147331,138.6064311759,Earth,2023-01-03,False,0
3589135,3589135,(2011 WR41),25.12,0.0251509837,0.0562393094,0.04069514655,25.1509837491,56.239309364,8.9488279298,32215.7805473146,6064355.265154931,0.0405377113,15.7691696957,Earth,2023-01-03,False,0
3596212,3596212,(2012 BE27),23.3,0.058150704,0.130028927,0.09408981549999999,58.1507039646,130.0289270043,10.3186487891,37147.1356407452,2147031.083645068,0.0143520164,5.5829343796,Earth,2023-01-03,False,0
3596264,3596264,(2012 BA35),23.75,0.0472666667,0.1056914799,0.0764790733,47.2666667188,105.6914798531,17.8630971117,64307.149601994,74055040.09882253,0.4950273697,192.5656468133,Earth,2023-01-03,False,0
3703436,3703436,(2015 AO43),26.5,0.0133215567,0.0297879063,0.0215547315,13.3215566698,29.7879062798,8.461151944,30460.146998428,12357600.133340636,0.0826054551,32.1335220339,Earth,2023-01-03,False,0
3102774,3102774,(2002 AJ69),21.3,0.1460679643,0.3266178974,0.23634293085000002,146.0679642714,326.6178974458,15.1891078063,54680.7881026404,64699620.45008388,0.4324902517,168.2387079113,Earth,2023-01-06,False,0
3550089,3550089,(2010 UY7),28.5,0.0053034072,0.0118587791,0.00858109315,5.3034072332,11.8587790858,18.889281405,68001.4130578852,70761648.3314165,0.4730124054,184.0018257006,Earth,2023-01-06,True,0
3723829,3723829,(2015 MQ116),23.5,0.0530340723,0.1185877909,0.0858109316,53.0340723319,118.5877908577,7.7790740619,28004.666622869,23867035.246199563,0.1595412772,62.0615568308,Earth,2023-01-06,False,0
3986832,3986832,(2020 BT2),23.67,0.0490405098,0.1096579137,0.07934921175,49.0405098418,109.6579136575,23.6709010819,85215.2438947838,63953666.16966821,0.4275038553,166.2989997117,Earth,2023-01-06,False,0
3989408,3989408,(2020 CN),27.4,0.0088014652,0.0196806745,0.01424106985,8.801465209,19.6806745089,29.4522399124,106028.0636845068,74174911.15167804,0.4958286582,192.8773480398,Earth,2023-01-06,False,0
3157028,3157028,(2003 MK4),20.86,0.1788771952,0.3999815682,0.2894293817,178.8771952404,399.981568182,14.5133895675,52248.2024428481,16677946.242475525,0.1114851852,43.3677370428,Earth,2023-01-07,False,1
3330447,3330447,(2006 HJ18),21.88,0.1118291378,0.250057554,0.1809433459,111.8291378246,250.057554041,10.9074871608,39266.9537788062,38282890.59919117,0.2559053187,99.5471689743,Earth,2023-01-07,False,0
3400310,3400310,(2008 BX2),23.6,0.0506471459,0.1132504611,0.0819488035,50.6471458835,113.2504610618,18.855820799,67880.954876558,44202801.59608824,0.2954774797,114.9407396033,Earth,2023-01-07,False,0
3646649,3646649,(2013 QM10),24.49,0.0336166921,0.0751692087,0.0543929504,33.6166921158,75.1692087496,16.5596181201,59614.6252325213,70000648.6790594,0.4679254369,182.0229949541,Earth,2023-01-07,False,0
3655393,3655393,(2013 YL2),23.33,0.0573528464,0.1282448632,0.0927988548,57.3528463953,128.2448632429,18.9015749414,68045.6697890692,15016064.47703168,0.1003761917,39.0463385713,Earth,2023-01-07,False,0
3740102,3740102,(2016 AE166),21.43,0.1375798959,0.3076379996,0.22260894775,137.5798959325,307.6379996423,19.5538231161,70393.7632178891,13890074.206113292,0.0928494116,36.1184211124,Earth,2023-01-07,False,0
3837638,3837638,(2019 AR3),22.43,0.0868070458,0.1941064553,0.14045675055,86.8070457914,194.1064553155,26.3552066249,94878.7438497952,26515188.721258514,0.1772430899,68.9475619711,Earth,2023-01-07,False,0
3837777,3837777,(2019 AJ8),23.24,0.0597798714,0.1336718562,0.09672586379999999,59.7798714231,133.6718561883,13.5077525469,48627.9091689858,33327732.256701183,0.2227821309,86.6622489201,Earth,2023-01-07,False,0
3406893,3406893,(2008 FC),24.8,0.0291443905,0.0651688382,0.04715661435,29.1443904535,65.1688382168,15.9110825089,57279.8970318784,54312472.9860619,0.3630564592,141.2289626288,Earth,2023-01-11,False,0
3604617,3604617,(2012 KT12),26.8,0.0116025908,0.0259441818,0.0187733863,11.6025908209,25.9441817907,7.7615267171,27941.4961817082,69590227.64078417,0.4651819417,180.9557753213,Earth,2023-01-11,False,0
3625068,3625068,(2013 BO27),24.11,0.0400456158,0.0895447192,0.0647951675,40.0456158192,89.5447191727,14.0105879627,50438.1166656336,11290082.015005764,0.0754695372,29.3576499708,Earth,2023-01-11,False,0
3714123,3714123,(2015 FG36),23.82,0.0457672667,0.1023387195,0.07405299309999999,45.7672667231,102.3387195373,6.2050261964,22338.0943071893,44019838.22499194,0.2942544451,114.4649791439,Earth,2023-01-11,False,0
